	City	Borough	Neighbourhood	Latitude	Longitude
0	London	Westminster / Camden	Covent Garden / Charing Cross / Aldwych / St Giles	51.51651000000004	-0.11967999999995982
1	London	Camden / Camden and Islington	Bloomsbury / Holborn / St Pancras / King's Cross	51.524500000000046	-0.12272999999993317
2	London	Westminster	Maida Vale / Little Venice	51.525870000000054	-0.19525999999996202
3	London	Kensington and Chelsea	Holland Park	51.50162000000006	-0.19172999999995
4	London	Ealing	Hanwell	51.50878000000006	-0.3362999999999374
5	London	Hammersmith and Fulham	Hammersmith	51.49617000000006	-0.22934999999995398
6	London	Ealing	Ealing	51.51406000000003	-0.30072999999993044
7	London	Hounslow / Hounslow, Ealing, Hammersmith and Fulham / Ealing	Gunnersbury / Grove Park / Chiswick / Bedford Park	51.48944000000006	-0.26193999999992457
8	London	Ealing, Hammersmith and Fulham	Acton	51.51324000000005	-0.2674599999999714
9	London	Westminster	Bayswater / Paddington	51.51494000000008	-0.1804799999999318
10	London	Hammersmith and Fulham	West Kensington	51.49568000000005	-0.2099299999999289
11	London	Ealing	West Ealing	51.514530000000036	-0.31950999999997975
12	London	Hammersmith and Fulham	Shepherd's Bush / White City / Wormwood Scrubs	51.50645000000003	-0.2369099999999662
13	London	Kensington and Chelsea	Notting Hill	51.512440000000026	-0.20638999999994212
14	London	Kensington and Chelsea	North Kensington	51.52346000000006	-0.21352999999993472
15	London	Westminster / Camden	Mayfair / Chinatown / Marylebone (also St Marylebone) / Soho / Fitzrovia	51.51656000000003	-0.14769999999992933
16	London	Lambeth / Wandsworth	Oval / Stockwell / Vauxhall / Nine Elms	51.476230000000044	-0.13055999999994583
17	London	Kensington and Chelsea	South Kensington / Kensington	51.49807000000004	-0.17403999999993403
18	London	Hammersmith and Fulham	Parsons Green / Fulham / Sands End	51.47772000000003	-0.2014499999999657
19	London	Kensington and Chelsea	Earls Court	51.49004000000008	-0.1897099999999341
20	London	Lambeth, Wandsworth	Clapham	51.46095000000008	-0.13921999999996615
21	London	Kensington and ChelseaHammersmith and Fulham / Kensington and Chelsea	Brompton / Chelsea	51.49014000000005	-0.16247999999995955
22	London	Merton	Raynes Park	51.41117000000003	-0.22622999999993
23	London	Lambeth	Brixton	51.452950000000044	-0.12082999999995536
24	London	Merton	South Wimbledon / Colliers Wood / Wimbledon / Merton Park	51.421700000000044	-0.2079599999999573
25	London	Wandsworth	Southfields / Earlsfield / Wandsworth	51.45066000000003	-0.18996999999995978
26	London	Wandsworth	Tooting / Tooting Bec	51.43037000000004	-0.1655799999999772
27	London	Croydon / Lambeth	Norbury / Streatham	51.41870000000006	-0.12752999999997883
28	London	Kingston upon Thames / Wandsworth	Kingston Vale / Roehampton / Putney	51.457550000000026	-0.21844999999996162
29	London	Richmond upon Thames	Mortlake / East Sheen	51.46482000000003	-0.26590999999996257
